Aliado,Nombre Comercial,Descripcion corta,Precio referencial,Precio promocional,Ahorro,Ecosistemas,Caracteristicas,Metodo de compra y pago,Pasos a seguir,Telefono,Correo,URL aliado,Terminos y Condiciones,Vigencia,Foto externa,Foto interna,PDF Auxiliar
Poliglota,"Ahorra S/1,061 soles en Plan 32 sesiones de Idiomas Políglota",Estudia idiomas por 4 meses con una metodología social que garantiza el aprendizaje más rápido y efectivo.,"S/.2.000,00","S/939,00","Ahorra S/1,061",Educación,"Paquete S de Idiomas de 32 sesiones de 90 minutos cada una, dos veces por semana. Grupos de máximo 6 personas con un Coach especializado. Puedes escoger entre aprender Ingles, Francés, Italiano, Alemán o Portugués y puedes llevar varios idiomas al mismo tiempo.",Pagando con la Tarjeta de débito ALFIN en el portal de Políglota,•Ingresa a https://www.poliglota.org/pe/promos.; •Selecciona las promociones disponibles con Alfin; •Elige el producto que sea de tu preferencia.; •Paga con la Tarjeta de débito Alfin en el portal de Poliglota.; •Te contactarán en un plazo de hasta 24 horas.,933-647-529,hola@poliglota.pe,https://www.poliglota.org/pe/promos,"Válido solo un descuento por persona. Aplica para los siguientes idiomas: inglés, italiano, Francés, Alemán y Portugués. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco. No válido para transferencias, depósitos ni efectivo. Promoción disponible hasta agotar stock y/o vigencia. Cupos limitados por idioma. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/07/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747612/uc_lgtmh1.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747615/uc_wfclor.jpg,
Poliglota,"Ahorra S/1,273 soles en Plan 48 sesiones de Idiomas Políglota",Estudia idiomas por 6 meses con una metodología social que garantiza el aprendizaje más rápido y efectivo.,"S/.2.400,00","S/1.127,00","Ahorra S/1,273",Educación,"Paquete M de Idiomas de 48 sesiones de 90 minutos cada una, dos veces por semana. Grupos de máximo 6 personas con un Coach especializado. Puedes escoger entre aprender Ingles, Francés, Italiano, Alemán o Portugués y puedes llevar varios idiomas al mismo tiempo.",Pagando con la Tarjeta de débito ALFIN en el portal de Políglota,•Ingresa a https://www.poliglota.org/pe/promos.; •Selecciona las promociones disponibles con Alfin; •Elige el producto que sea de tu preferencia.; •Paga con la Tarjeta de débito Alfin en el portal de Poliglota.; •Te contactarán en un plazo de hasta 24 horas.,933-647-529,hola@poliglota.pe,https://www.poliglota.org/pe/promos,"Válido solo un descuento por persona. Aplica para los siguientes idiomas: inglés, italiano, Francés, Alemán y Portugués. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco. No válido para transferencias, depósitos ni efectivo. Promoción disponible hasta agotar stock y/o vigencia. Cupos limitados por idioma. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/07/2021 - Hasta 31/06/2022,https://drive.google.com/uc?export=view&id=1h5GhmYMkBMhs2zZtG_jrT3cJKNNX2Dpu,http://res.cloudinary.com/renzott/image/upload/v1635747619/uc_ctw3tt.jpg,
Poliglota,"Ahorra S/2,206 soles en Plan 96 sesiones de Idiomas Políglota",Estudia idiomas por 12 meses con una metodología social que garantiza el aprendizaje más rápido y efectivo.,"S/3.500,00","S/1.294,00","Ahorra S/2,206",Educación,"Paquete L de Idiomas de 96 sesiones de 90 minutos cada una, dos veces por semana. Grupos de máximo 6 personas con un Coach especializado. Puedes escoger entre aprender Ingles, Francés, Italiano, Alemán o Portugués y puedes llevar varios idiomas al mismo tiempo.",Pagando con la Tarjeta de débito ALFIN en el portal de Políglota,•Ingresa a https://www.poliglota.org/pe/promos.; •Selecciona las promociones disponibles con Alfin; •Elige el producto que sea de tu preferencia.; •Paga con la Tarjeta de débito Alfin en el portal de Poliglota.; •Te contactarán en un plazo de hasta 24 horas.,933-647-529,hola@poliglota.pe,https://www.poliglota.org/pe/promos,"Válido solo un descuento por persona. Aplica para los siguientes idiomas: inglés, italiano, Francés, Alemán y Portugués. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco. No válido para transferencias, depósitos ni efectivo. Promoción disponible hasta agotar stock y/o vigencia. Cupos limitados por idioma. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/07/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747622/uc_irov87.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747625/uc_yuyxeh.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de Diplomados de Reparación de Celulares + Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Paquete de Diplomados APD001 - Reparación de Celulares + Marketing Emprendedores de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados o cualquier otro entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747627/uc_ldp1n5.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747630/uc_ndssdo.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de Diplomados: Mecánica Automotriz + Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Paquete de Diplomados AAPD002 - Mecánica Automotriz + Marketing Emprendedores de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados o cualquier otro entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747632/6178601b4312f2a8ee1b291c_HeroMecanicaAutomotriz_bcq6sa.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747634/uc_dthiif.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de Diplomados: Mecánica de Motos + Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Paquete de Diplomados APD003 - Mecánica de Motos + Marketing Emprendedores de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados o cualquier otro entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747636/HeroMecanicaMotos_ciinbj.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747638/uc_iblwja.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de Diplomados: Corte y Confección + Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Paquete de Diplomados APD004 - Corte y Confección + Marketing Emprendedores de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados o cualquier otro entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,https://drive.google.com/uc?export=view&id=1aKclnPhnmstARjuSrszb5T62LfwIHjNN,http://res.cloudinary.com/renzott/image/upload/v1635747641/uc_ycbshh.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de Diplomados: Repostería Profesional + Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Paquete de Diplomados APD005 - Repostería Profesional + Marketing Emprendedores de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados o cualquier otro entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747644/HeroGastronReposteriaProfesional_wijcb1.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747646/uc_mhjia8.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de Diplomados: Cocina Internacional+ Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Paquete de Diplomados APD006 - Cocina Internacional+ Marketing Emprendedores de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados o cualquier otro entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,https://drive.google.com/uc?export=view&id=1Ftkg8KY60tITYzp3vE_sJXZX5N-1IV_Q,http://res.cloudinary.com/renzott/image/upload/v1635747651/uc_ffjzpi.jpg,
Aprende,"Ahorra S/3,744 soles en Paquete de otros Diplomados Disponibles + Marketing Emprendedores",Profesionaliza tus habilidades por 6 meses y mejora tu calidad de Vida.,"S/4.680,00","S/936,00","Ahorra S/3,744",Educación,"Diplomados de 90 días de duración, dedicando 15-30 minutos diarios. Puedes escoger este pack de diplomados entre los 35 diplomados de nuestras 5 escuelas disponibles. 
",Pagando con la Tarjeta de débito ALFIN en el portal de Aprende,•Ingresa al portal web de Aprende ;• Elige el paquete de diplomados que deseas tomar.;•Paga con la Tarjeta de débito Alfin en el portal de Aprende.;•Te contactarán en un plazo de hasta 24 horas,(01) 730-6753,john.vallejo@aprende.com,https://aprende.com/,"Válido solo un descuento por persona. Promoción exclusiva identificándose como miembro del plan de beneficios de Nuevo Banco y pagando con la Tarjeta de débito. No válido para transferencias, depósitos ni efectivo. No acumulable con otras promociones y/o descuentos. Imágenes referenciales correspondientes a los establecimientos afiliados. Alfin no se responsabiliza por los productos y/o servicios brindados por las alianzas y establecimientos asociados. Si deseas mayor información de tasas de interés, comisiones y gastos de los productos del Banco visite www.Alfinbanco.pe o contacte nuestros canales de atención aquí. Alfin podrá suspender la promoción así como introducir las modificaciones que juzgue convenientes en cuanto a las condiciones y características de la promoción, sin que ello genere reclamo alguno por parte de los clientes. Información difundida de acuerdo a la ley N°28587 y resolución SBS 3274-2017.",Desde 01/08/2021 - Hasta 31/06/2022,http://res.cloudinary.com/renzott/image/upload/v1635747653/HeroDiplomadMaquillaje_c9kyvb.jpg,http://res.cloudinary.com/renzott/image/upload/v1635747655/uc_huvs19.jpg,
